"","ctrl1","ctrl2","ctrl3","ctrl4","RA1","RA2","RA3","RA4"
"ILKAP",1395.984532,102.000792,211.557254,165.4043006,276.8593753,762.1106686,885.5826189,1093.461083
"ILRUN",2933.998613,1674.00173,1103.999173,703.9995988,740.9976164,4032.998208,3246.001987,2500.999753
"ILRUNP1",0,0,0,0,0,0,0,0
"ILVBL",297.586764,109.0145594,67.01187723,56.99997888,123.442218,94.31716318,156.0781121,233.3433183
"IMMP1L",259.1949798,40.1505159,46.99340119,48.61770591,107.28397,396.0621119,551.9302135,307.8225178
"IMMP1LP1",0,0,0,0,3.999997758,26.00002978,0,33.99993687
"IMMP1LP2",0,0,0,0,0,0,1.021765364,0
"IMMP1LP3",7.000036778,0,0,0,2.000000796,3.999978632,7.00001589,0
"IMMP2L",794.0013262,156.000022,47.00005037,30.99996943,90.99987477,602.9994106,556.9998848,797.9999226
"IMMT",1837.540122,303.999324,181.5355497,226.1432202,717.8290182,2327.823455,2380.649722,1390.740961
"IMMTP1",0,0,3.141438033,0,0,0,0,0
"IMP3",840.0000523,589.5432884,364.0239229,240.8976104,78.64775378,834.2857747,960.1605076,315.1497846
"IMP3P1",0,0,0,0,3.999997838,0,0,0
"IMP3P2",7.999973851,0,0,0,0,1.000001672,2.999999055,0
"IMP4",609.9998764,134.0000992,231.0000246,218.9998009,262.999002,752.9312925,415.9995569,546.0002503
"IMPA1",479.0754741,98.19600566,95.99995158,68.99988167,188.9686179,844.8474488,1230.637443,476.1068107
"IMPA1P1",0,0,0,0,0,3.999999779,1.000000338,0
"IMPA2",904.8821417,320.5844969,170.9415339,209.672032,60.47343326,371.681637,314.1385501,606.1878842
"IMPACT",1061.104341,319.1504352,300.394427,193.8847962,271.2251452,2019.668271,2050.111934,1578.075648
"IMPDH1",1692.123565,226.9999372,272.0000558,182.9998947,401.3679612,822.2209344,1015.939741,1142.205535
"IMPDH1P10",19.18263874,0,0,0,79.45559612,3.066316577,25.57877049,48.80259143
"IMPDH1P11",56.0753781,0,0,0,1.002322675,3.999998771,1.005307184,4.010872751
"IMPDH1P2",0,0,0,0,0,0,0,0
"IMPDH1P3",0,0,0,0,0,0,0,0
"IMPDH1P4",0,0,0,0,0,0,0,0
"IMPDH1P5",7.004561098,0,3.999992511,0,0,93.20723744,42.33308129,22.20742451
"IMPDH1P6",2.512141753,0,0,0,0,2.067546703,0,4.000007398
"IMPDH1P7",1.001346875,0,0,1.999992112,0,6.0067512,0,3.000001588
"IMPDH1P8",46.99990251,0,0,0,0.999995101,0,42.00002932,27.03530418
"IMPDH1P9",3.007491365,0,0,0,0,0,0,2.000001229
"IMPDH2",1493.090944,338.9999658,702.9990636,479.000293,239.9994979,823.3769605,748.8453406,1381.328396
"IMPG1",20.00000856,0,0,0,0,12.00000625,52.00006879,31.99998306
"IMPG2",36.46836841,110.2562345,29.63661672,5.328167111,44.73547945,236.7941962,255.3221487,167.0283385
"INA",0,0,0,0,0,5.000000896,0,0
"INAFM1",77.99996496,143.0000407,204.0001968,80.99978543,13.99998212,25.99999469,14.99999499,7.999999658
"INAFM2",64.00000158,25.00003504,105.000137,100.999923,185.9996091,562.9999727,185.9997683,196.0000216
"INAVA",76.89871708,0.132541694,14.57768315,3.621115134,28.85562809,85.04326368,109.4098742,87.69556258
"INCA1",63.48570473,21.00003892,33.74598367,22.16669655,11.99993139,15.11980969,27.28485587,41.33420682
"INCENP",827.9998,640.0005586,394.0010332,257.9998228,3.999992773,208.0002418,7.000008052,386.0001371
"INF2",13053.55143,2615.001491,1828.998801,1208.894745,433.5908974,551.2535662,607.8638745,1362.055055
"ING1",1042.303846,309.2560597,262.5073364,171.8558206,24.7714755,340.0835397,327.1752815,400.3636152
"ING2",180.0000497,50.99997975,36.99991362,44.0000349,58.99980714,67.99999967,163.0002611,66.00009354
"ING3",309.9996963,22.99999664,27.99998906,76.9999285,125.9996449,1078.999708,1084.000921,684.999057
"ING4",846.2298244,62.99998717,165.0000454,96.99984212,27.99994393,325.7862052,398.1216779,459.8828866
"ING5",3242.144565,730.3028031,318.4281224,339.4043862,398.2916485,1427.729728,1336.850688,1041.696145
"INGX",21.4552572,0,7.713083908,0,7.895186841,23.03013708,29.92917973,36.97558578
"INHA",6.999997923,0,0,0,0,11.99999991,9.999999595,1.0000007
"INHBA",177.9648917,214.2356725,207.063034,252.029497,217.3560963,687.3749331,1215.872539,367.0673687
"INHBB",447.99986,0,10.99999876,5.999999158,0,229.0000877,34.00004539,108.9997813
"INHBC",1.000000732,0,0,0,0,2.99999854,0,8.99995903
"INHBE",23.63551017,14.49170642,27.55379843,15.64028853,13.13792415,20.02385312,17.83510329,23.56735871
"INHCAP",156.9999984,0,0,4.999999605,8.999985305,40.00004334,5.999997297,91.99997645
"INIP",1265.146209,219.0124768,338.9578093,139.9728831,279.9853251,1531.684837,1942.566506,1227.245511
"INKA1",198.9997356,0,74.00030284,24.00000328,0,40.00003213,30.00001909,79.99999973
"INKA2",1715.351848,285.8083392,376.5630999,189.6285652,324.530074,1079.591931,657.4737503,1509.147578
"INMT",574.3072888,664.8340862,394.2200214,235.5707433,1911.203897,404.9757075,1184.204902,1625.011666
"INMT-MINDY4",5.533338216,0,47.57294993,11.75470154,0,52.46960819,56.39600737,239.1927533
"INO80",2525.002251,575.0007431,456.0002178,421.9999381,334.99905,2609.003827,3011.993464,2465.006
"INO80B",560.0650485,186.9995525,97.946917,64.99992708,68.99977742,101.0001083,9.999996151,66.30354494
"INO80B-WBP1",20.25503208,0,69.68922109,0,0,0,0,61.42874838
"INO80C",2554.257585,500.240692,272.9074125,87.87126738,345.6631049,2010.54178,2174.83585,2372.188961
"INO80D",3478.598147,458.3389606,483.3307507,552.7731894,792.1786947,3412.837744,4847.872705,4175.329989
"INO80E",3264.516695,397.9999978,352.6779371,198.2854128,111.9997412,240.8295378,298.2049308,101.1875437
"INPP1",399.0004444,76.00011505,88.00001358,47.99998252,109.999504,821.0012699,624.0013014,449.0001514
"INPP4A",5059.652036,365.0017434,187.5963243,258.9998222,1057.066406,5442.29379,5184.412246,4011.099672
"INPP4B",1552.411339,310.0987787,99.85364386,139.2833709,486.0707045,1918.557962,4116.936241,3655.72759
"INPP5A",955.2265694,151.3717465,189.6070841,91.64188922,68.56370042,498.715225,451.9999246,1081.122616
"INPP5B",2281.104111,487.8535257,380.5772233,337.2360733,358.084818,1577.627395,2166.489002,2103.602202
"INPP5D",4180.002755,394.8878741,402.8996792,364.3992163,1313.324996,3237.530053,4965.20047,2504.081317
"INPP5E",285.063942,312.0001403,345.7344485,151.0000122,62.01569552,304.301898,162.0423283,195.0099897
"INPP5F",813.5695428,341.3411719,187.6171321,132.2073913,155.7610222,1244.870703,1902.259976,1388.276054
"INPP5J",19.00002471,28.00001651,3.999999973,8.0000174,8.999972734,11.99999717,0,7.999998361
"INPP5K",944.4350986,243.3530076,252.3925255,168.9999214,270.0765004,199.0148592,347.8093594,632.7682592
"INPPL1",4259.00493,825.0022336,507.0001891,400.0003504,629.998662,1475.999278,1094.000777,1574.003103
"INS",0,0,0,0,0,0,0,0
"INS-IGF2",0,0,0,0,0,0,0,0
"INSC",22.14760581,0,2.339064006,17.37362689,6.046909143,15.07426209,9.213844949,38.63899505
"INSIG1",969.9986924,172.0001507,190.9999708,119.9999139,391.9988901,2205.001186,2113.002793,1597.999592
